2023-05-25 00:36:36
20230525 012504.498 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20230525 012504.498 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20230525 012504.498 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20230525 012504.498 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20230525 012504.499 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20230525 012504.499 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20230525 012504.499 INFO             PET0 Running with ESMF Version   : 8.5.0 beta snapshot
20230525 012504.499 INFO             PET0 ESMF library build date/time: "May 25 2023" "00:35:07"
20230525 012504.499 INFO             PET0 ESMF library build location : /lustre/f2/dev/Mark.Potts/esmf-test/intel_2022.2.1-classic_mpi_g_develop/esmf
20230525 012504.499 INFO             PET0 ESMF_COMM                   : mpi
20230525 012504.499 INFO             PET0 ESMF_MOAB                   : enabled
20230525 012504.499 INFO             PET0 ESMF_LAPACK                 : enabled
20230525 012504.499 INFO             PET0 ESMF_NETCDF                 : enabled
20230525 012504.499 INFO             PET0 ESMF_PNETCDF                : disabled
20230525 012504.499 INFO             PET0 ESMF_PIO                    : enabled
20230525 012504.499 INFO             PET0 ESMF_YAMLCPP                : enabled
20230525 012504.500 INFO             PET0 mainApp STARTING
20230525 012504.540 INFO             PET0 driver: InitializeGeneric intro.
20230525 012504.540 INFO             PET0   driver: InitializeP0 intro.
20230525 012504.540 INFO             PET0   driver: InitializeP0 extro.
20230525 012504.540 INFO             PET0   driver: InitializeIPDv02p1 intro.
20230525 012504.540 INFO             PET0     >>>driver: entered Initialize (phase=<none>) without valid internal Clock.
20230525 012504.540 INFO             PET0     driver - Creating model component ATM1 without petList.
20230525 012504.541 INFO             PET0     driver - Creating model component ATM2 without petList.
20230525 012504.542 INFO             PET0     driver - Creating model component MED without petList.
20230525 012504.543 INFO             PET0     driver - Creating connector component ATM1-TO-MED without petList.
20230525 012504.544 INFO             PET0     driver - Creating connector component MED-TO-ATM1 without petList.
20230525 012504.546 INFO             PET0     driver - Creating connector component ATM2-TO-MED without petList.
20230525 012504.547 INFO             PET0     driver - Creating connector component MED-TO-ATM2 without petList.
20230525 012504.549 INFO             PET0     driver - Creating state: modelComp 1 Import State
20230525 012504.549 INFO             PET0     driver - Creating state: modelComp 1 Export State
20230525 012504.549 INFO             PET0     driver - Creating state: modelComp 2 Import State
20230525 012504.549 INFO             PET0     driver - Creating state: modelComp 2 Export State
20230525 012504.549 INFO             PET0     driver - Creating state: modelComp 3 Import State
20230525 012504.549 INFO             PET0     driver - Creating state: modelComp 3 Export State
20230525 012504.550 INFO             PET0     ATM1: InitializeP0 intro.
20230525 012504.550 INFO             PET0     ATM1: InitializeP0 extro.
20230525 012504.550 INFO             PET0     ATM2: InitializeP0 intro.
20230525 012504.551 INFO             PET0     ATM2: InitializeP0 extro.
20230525 012504.551 INFO             PET0     MED: InitializeP0 intro.
20230525 012504.551 INFO             PET0     MED: InitializeP0 extro.
20230525 012504.552 INFO             PET0     ATM1-TO-MED: InitializeP0 intro.
20230525 012504.552 INFO             PET0     ATM1-TO-MED: InitializeP0 extro.
20230525 012504.552 INFO             PET0     ATM2-TO-MED: InitializeP0 intro.
20230525 012504.552 INFO             PET0     ATM2-TO-MED: InitializeP0 extro.
20230525 012504.552 INFO             PET0     MED-TO-ATM1: InitializeP0 intro.
20230525 012504.553 INFO             PET0     MED-TO-ATM1: InitializeP0 extro.
20230525 012504.553 INFO             PET0     MED-TO-ATM2: InitializeP0 intro.
20230525 012504.553 INFO             PET0     MED-TO-ATM2: InitializeP0 extro.
20230525 012504.554 INFO             PET0     driver: IInitAdvertise intro.
20230525 012504.554 INFO             PET0     driver: IInitAdvertise extro.
20230525 012504.554 INFO             PET0     ATM1: InitializeIPDvXp01 intro.
20230525 012504.555 INFO             PET0     ATM1: InitializeIPDvXp01 extro.
20230525 012504.555 INFO             PET0     ATM2: InitializeIPDvXp01 intro.
20230525 012504.556 INFO             PET0     ATM2: InitializeIPDvXp01 extro.
20230525 012504.556 INFO             PET0     MED: InitializeIPDvXp01 intro.
20230525 012504.558 INFO             PET0     MED: InitializeIPDvXp01 extro.
20230525 012504.559 INFO             PET0     ATM1-TO-MED: InitializeIPDv05p1 intro.
20230525 012504.562 INFO             PET0     ATM1-TO-MED: InitializeIPDv05p1 extro.
20230525 012504.562 INFO             PET0     ATM2-TO-MED: InitializeIPDv05p1 intro.
20230525 012504.565 INFO             PET0     ATM2-TO-MED: InitializeIPDv05p1 extro.
20230525 012504.565 INFO             PET0     MED-TO-ATM1: InitializeIPDv05p1 intro.
20230525 012504.566 INFO             PET0     MED-TO-ATM1: InitializeIPDv05p1 extro.
20230525 012504.566 INFO             PET0     MED-TO-ATM2: InitializeIPDv05p1 intro.
20230525 012504.567 INFO             PET0     MED-TO-ATM2: InitializeIPDv05p1 extro.
20230525 012504.567 INFO             PET0     driver: IInitAdvertiseFinish intro.
20230525 012504.567 INFO             PET0     driver: IInitAdvertiseFinish extro.
20230525 012504.568 INFO             PET0     ATM1-TO-MED: InitializeIPDv05p2a intro.
20230525 012504.569 INFO             PET0     ATM1-TO-MED: InitializeIPDv05p2a extro.
20230525 012504.570 INFO             PET0     ATM2-TO-MED: InitializeIPDv05p2a intro.
20230525 012504.571 INFO             PET0     ATM2-TO-MED: InitializeIPDv05p2a extro.
20230525 012504.572 INFO             PET0     MED-TO-ATM1: InitializeIPDv05p2a intro.
20230525 012504.573 INFO             PET0     MED-TO-ATM1: InitializeIPDv05p2a extro.
20230525 012504.573 INFO             PET0     MED-TO-ATM2: InitializeIPDv05p2a intro.
20230525 012504.574 INFO             PET0     MED-TO-ATM2: InitializeIPDv05p2a extro.
20230525 012504.574 INFO             PET0     ATM1-TO-MED: InitializeIPDv05p2b intro.
20230525 012504.576 INFO             PET0     ATM1-TO-MED: InitializeIPDv05p2b extro.
20230525 012504.576 INFO             PET0     ATM2-TO-MED: InitializeIPDv05p2b intro.
20230525 012504.578 INFO             PET0     ATM2-TO-MED: InitializeIPDv05p2b extro.
20230525 012504.578 INFO             PET0     MED-TO-ATM1: InitializeIPDv05p2b intro.
20230525 012504.580 INFO             PET0     MED-TO-ATM1: InitializeIPDv05p2b extro.
20230525 012504.580 INFO             PET0     MED-TO-ATM2: InitializeIPDv05p2b intro.
20230525 012504.581 INFO             PET0     MED-TO-ATM2: InitializeIPDv05p2b extro.
